1|156|4|1|17.0|17954.55|0.04|0.02|N|O|1996-03-13T00:00:00.000Z|1996-02-12T00:00:00.000Z|1996-03-22T00:00:00.000Z|DELIVER IN PERSON|TRUCK|egular courts above the
1|68|9|2|36.0|34850.16|0.09|0.06|N|O|1996-04-12T00:00:00.000Z|1996-02-28T00:00:00.000Z|1996-04-20T00:00:00.000Z|TAKE BACK RETURN|MAIL|ly final dependencies: slyly bold 
1|64|5|3|8.0|7712.48|0.1|0.02|N|O|1996-01-29T00:00:00.000Z|1996-03-05T00:00:00.000Z|1996-01-31T00:00:00.000Z|TAKE BACK RETURN|REG AIR|riously. regular, express dep
1|3|6|4|28.0|25284.0|0.09|0.06|N|O|1996-04-21T00:00:00.000Z|1996-03-30T00:00:00.000Z|1996-05-16T00:00:00.000Z|NONE|AIR|lites. fluffily even de
1|25|8|5|24.0|22200.48|0.1|0.04|N|O|1996-03-30T00:00:00.000Z|1996-03-14T00:00:00.000Z|1996-04-01T00:00:00.000Z|NONE|FOB| pending foxes. slyly re
1|16|3|6|32.0|29312.32|0.07|0.02|N|O|1996-01-30T00:00:00.000Z|1996-02-07T00:00:00.000Z|1996-02-03T00:00:00.000Z|DELIVER IN PERSON|MAIL|arefully slyly ex
2|107|2|1|38.0|38269.8|0.0|0.05|N|O|1997-01-28T00:00:00.000Z|1997-01-14T00:00:00.000Z|1997-02-02T00:00:00.000Z|TAKE BACK RETURN|RAIL|ven requests. deposits breach a
3|5|2|1|45.0|40725.0|0.06|0.0|R|F|1994-02-02T00:00:00.000Z|1994-01-04T00:00:00.000Z|1994-02-23T00:00:00.000Z|NONE|AIR|ongside of the furiously brave acco
3|20|10|2|49.0|45080.98|0.1|0.0|R|F|1993-11-09T00:00:00.000Z|1993-12-20T00:00:00.000Z|1993-11-24T00:00:00.000Z|TAKE BACK RETURN|RAIL| unusual accounts. eve
3|129|8|3|27.0|27786.24|0.06|0.07|A|F|1994-01-16T00:00:00.000Z|1993-11-22T00:00:00.000Z|1994-01-23T00:00:00.000Z|DELIVER IN PERSON|SHIP|nal foxes wake. 
3|30|5|4|2.0|1860.06|0.01|0.06|A|F|1993-12-04T00:00:00.000Z|1994-01-07T00:00:00.000Z|1994-01-01T00:00:00.000Z|NONE|TRUCK|y. fluffily pending d
3|184|5|5|28.0|30357.04|0.04|0.0|R|F|1993-12-14T00:00:00.000Z|1994-01-10T00:00:00.000Z|1994-01-01T00:00:00.000Z|TAKE BACK RETURN|FOB|ages nag slyly pending
3|63|8|6|26.0|25039.56|0.1|0.02|A|F|1993-10-29T00:00:00.000Z|1993-12-18T00:00:00.000Z|1993-11-04T00:00:00.000Z|TAKE BACK RETURN|RAIL|ges sleep after the caref
4|89|10|1|30.0|29672.4|0.03|0.08|N|O|1996-01-10T00:00:00.000Z|1995-12-14T00:00:00.000Z|1996-01-18T00:00:00.000Z|DELIVER IN PERSON|REG AIR|- quickly regular packages sleep. idly
5|109|10|1|15.0|15136.5|0.02|0.04|R|F|1994-10-31T00:00:00.000Z|1994-08-31T00:00:00.000Z|1994-11-20T00:00:00.000Z|NONE|AIR|ts wake furiously 
